county,state,population_x,lat,lon,lat_gmap,lon_gmap,total_panel_area,number_of_solar_system_per_person,average_household_income,per_capita_income,median_household_income,housing_unit_median_value,daily_solar_radiation,electricity_price_residential,electricity_price_commercial,electricity_price_industrial,incentive_count_residential,incentive_count_nonresidential,population_y,education_high_school_graduate_rate,voting_2016_dem_percentage
Franklin County,in,22935,39.4154,-85.0756,39.4233977,-85.0649071,399.44176002999995,0.0002616088947024199,62749.27182076128,23224.8,50681.2,142000.0,3.812,11.57,9.78,6.860000000000001,13,22,4587.0,0.4134216922,0.178980892
Franklin County,ks,12812,38.607,-95.27866666666668,38.616591299999996,-95.3102505,267.39268652,0.0008585700905401186,55426.27898596316,22446.333333333332,43359.666666666664,97666.66666666667,4.24,12.339999999999998,10.1,7.61,12,18,4270.666666666667,0.3450225216666667,0.265434415
Franklin County,ky,41763,38.199,-84.86577777777777,38.2481018,-84.8984775,3361.1221617700003,0.0008141177597394823,61777.07154462227,26014.555555555555,48365.555555555555,137055.55555555556,3.8700000000000006,10.24,9.44,5.48,13,25,4640.333333333333,0.3168882017777778,0.449538591
Franklin County,ma,59202,42.5838,-72.55826666666667,42.530599,-72.61511689999998,11002.79391787,0.0016722408026755853,71857.53609212965,30833.333333333332,57051.0,218080.0,3.6700000000000013,19.82999999999999,15.789999999999994,13.539999999999994,31,33,3946.8,0.2708721854,0.641508937
Franklin County,me,26374,44.82400000000001,-70.33237500000001,45.0386059,-70.3979538,125.89243435,0.00018958064760749222,56156.54630100933,23638.625,42617.625,143062.5,3.505,15.61,12.47,9.049999999999999,15,20,3296.75,0.386183428875,0.4273592970000001
Franklin County,mo,69048,38.41854545454545,-91.00354545454545,38.395360100000005,-91.135302,9846.802935870002,0.0014337851929092805,68114.10998953799,26375.090909090908,51909.09090909091,153500.0,4.09090909090909,11.210000000000003,9.159999999999998,6.439999999999999,18,28,6277.090909090909,0.3435374014545454,0.24655809799999998
Franklin County,ms,7857,31.4725,-90.9185,31.4883928,-90.8675134,26.07785056,0.0002545500827287769,55581.796389088704,22136.0,36289.5,71250.0,4.4350000000000005,11.27,10.55,6.56,10,18,3928.5,0.3703491445,0.34866082
Franklin County,nc,56359,36.0466,-78.34150000000002,36.0741417,-78.2426748,23479.2870759,0.0006032754307209141,57143.87863602654,21081.0,43161.9,127580.0,4.198,11.28,8.730000000000002,6.51,29,33,5635.9,0.3168491003000001,0.428432881
Franklin County,ne,3105,40.19050000000001,-98.95299999999999,40.20898570000001,-98.9245343,46.25670497,0.0006441223832528181,63017.2199526087,28573.0,47426.0,60250.0,4.22,10.6,8.67,7.59,14,21,1552.5,0.37043887799999997,0.150966184
Franklin County,ny,51280,44.632428571428576,-74.34607142857142,44.5926135,-74.3387798,109.61101493699998,9.750390015600624e-05,59583.1710393442,23524.64285714286,47410.142857142855,111314.28571428571,3.5,18.539999999999996,15.31,6.310000000000001,28,36,3662.8571428571427,0.34293156678571435,0.430221811
Franklin County,oh,1023759,39.99762711864408,-82.98675423728807,40.015474499999996,-82.99316069999998,64020.327681104005,0.0005997505272236922,73496.4720605488,28312.22033898305,53948.61440677966,150179.66101694916,3.7630508474576216,12.800000000000036,10.070000000000004,7.019999999999985,17,29,4337.96186440678,0.2630521137203391,0.6056505100000014
Franklin County,pa,136316,39.881791666666665,-77.66166666666666,39.892385499999996,-77.6536125,8696.911831683,0.0007262537046274832,66228.20338963343,25517.291666666668,53514.5,172845.83333333334,3.7900000000000014,13.639999999999993,9.599999999999996,7.199999999999998,17,31,5679.833333333333,0.43116574058333335,0.249794506
Franklin County,tn,35555,35.172625,-86.109375,35.194686499999996,-86.05296039999998,1440.3031475,0.00042188159189987344,57834.52422996147,22631.375,42819.0,120687.5,4.1325,10.299999999999999,10.159999999999998,6.170000000000001,10,19,4444.375,0.37011007937499996,0.26718816800000006
Franklin County,tx,10599,33.12333333333333,-95.21433333333331,33.195995399999994,-95.1849219,58.74403332999999,0.0002830455703368242,65971.37332929616,24789.0,39862.333333333336,100033.33333333333,4.44,11.56,8.15,5.59,47,54,3533.0,0.3256672113333333,0.152662994
Franklin County,va,56315,37.0121,-79.8609,36.9458815,-79.82967430000001,506.19014483,0.00015981532451389506,60255.083314045994,25849.7,47040.3,200860.0,4.022,11.370000000000001,8.210000000000003,6.950000000000001,19,16,5631.5,0.32163942910000004,0.270621153
Franklin County,vt,48418,44.8336,-72.9698,44.842922200000004,-72.9340443,852.2225187600001,0.0005989508034202157,72032.15655058387,27874.5,58027.2,198940.0,3.4800000000000004,17.09,14.539999999999996,10.269999999999998,21,28,4841.8,0.37568834510000004,0.482682083
Franklin County,wa,86443,46.315583333333336,-119.0945,46.49373629999999,-118.86723789999999,15031.036467170003,0.0028805108568652174,65552.73136287658,21213.083333333332,56571.833333333336,163208.33333333334,4.11,9.090000000000002,8.22,4.3500000000000005,23,30,7203.583333333333,0.26912393691666664,0.3808297710000001
