county,state,population,lat,lon,lat_gmap,lon_gmap
Bulloch County,ga,58126,32.42700000000001,-81.76200000000001,32.3595678,-81.77870209999999
Bullock County,al,10678,32.10466666666667,-85.68566666666665,32.0573536,-85.7256372
Buncombe County,nc,205692,35.592191489361696,-82.54865957446809,35.59313770000001,-82.4752757
Bureau County,il,34115,41.3815,-89.44129999999998,41.35991560000001,-89.4742177
Burke County,ga,23007,33.07316666666667,-82.00383333333333,33.088805,-81.9534815
Burke County,nc,70771,35.72346666666667,-81.629,35.7616931,-81.73494199999999
Burke County,nd,2208,48.773,-102.481,48.7704377,-102.4633691
Burleigh County,nd,65786,46.83249999999999,-100.75371428571428,47.0448552,-100.5049676
Burleson County,tx,17293,30.505399999999998,-96.625,30.4500257,-96.663812
Burlington County,nj,304543,39.98466233766234,-74.8425844155844,39.8558488,-74.6868815
Burnet County,tx,44144,30.694375,-98.239875,30.7270349,-98.2212979
Burnett County,wi,15334,45.83733333333333,-92.42450000000001,45.8051186,-92.2888131
Burt County,ne,6647,41.85066666666666,-96.32666666666667,41.8252059,-96.3226072
Butler County,al,20354,31.770888888888887,-86.67066666666668,31.6760284,-86.6611083
Butler County,ia,8730,42.71666666666667,-92.85933333333332,42.7502186,-92.8577105
Butler County,ks,50310,37.7174,-96.9819,37.8649441,-96.83509989999999
Butler County,ky,7967,37.192,-86.666,37.2086395,-86.7013894
Butler County,mo,37662,36.733000000000004,-90.40022222222223,36.6951341,-90.37483540000001
Butler County,ne,8256,41.231,-97.12833333333333,41.1375727,-97.179026
Butler County,oh,298806,39.42110937499999,-84.490140625,39.440463,-84.5222189
Butler County,pa,155865,40.83580555555556,-79.95744444444445,40.9115243,-79.8296743
Butte County,ca,222564,39.66409803921569,-121.7061960784314,39.6253952,-121.5370003
Butte County,id,2653,43.75899999999999,-113.246,43.6448198,-113.1841378
Butte County,sd,10292,44.784499999999994,-103.7095,44.9251992,-103.7008932
Butts County,ga,23445,33.297,-83.967,33.2691443,-83.9532571
Cabarrus County,nc,157793,35.404483870967745,-80.60170967741934,35.4168123,-80.5882803
Cabell County,wv,91616,38.413888888888884,-82.36977777777776,38.43919270000001,-82.25832969999999
Cache County,ut,88865,41.748105263157896,-111.8556842105263,41.7560026,-111.7614661
Caddo County,ok,26128,35.138999999999996,-98.33257142857143,35.10556,-98.3088441
Caddo Parish,la,202383,32.48344,-93.79632000000001,32.6136798,-93.86553029999999
Calaveras County,ca,44353,38.162777777777784,-120.56344444444443,38.1960477,-120.6805037
Calcasieu Parish,la,150133,30.23353125,-93.28225000000002,30.2089286,-93.33889169999999
Caldwell County,ky,10725,37.105999999999995,-87.84849999999999,37.1501019,-87.89424509999999
Caldwell County,mo,9083,39.656499999999994,-93.981,39.6660775,-93.9878427
Caldwell County,nc,73641,35.89093333333333,-81.51193333333332,35.9227448,-81.5596427
Caldwell County,tx,39347,29.841125,-97.65899999999999,29.8849106,-97.6699144
Caldwell Parish,la,7628,32.054,-92.12899999999999,32.0669717,-92.0665197
Caledonia County,vt,31012,44.472300000000004,-72.0734,44.55051,-72.04819069999999
Calhoun County,al,116644,33.723499999999994,-85.82028571428575,33.7701576,-85.80766
Calhoun County,ar,5245,33.554,-92.52,33.5020885,-92.539603
Calhoun County,fl,14615,30.42833333333333,-85.13566666666668,30.3475302,-85.1894045
Calhoun County,ga,6489,31.5315,-84.64950000000002,31.5621777,-84.6479124
Calhoun County,ia,7572,42.37,-94.67033333333332,42.3785903,-94.645035
Calhoun County,il,4999,39.150000000000006,-90.6745,39.1733216,-90.658333
Calhoun County,mi,134790,42.28897435897436,-85.08546153846154,42.2073905,-85.02334599999999
